Joy,Trust,Fear,Surprise,Sad,Disgust,Anger,Anticipate,Max,Min
-54.43205466,-1.215913917,-12.03100857,-8.362471994,8.496663249,16.57982208,22.95125054,-8.07607841,22.95125054,-54.43205466
-13.0277142,3.0968702,4.166392218,-5.830596112,-8.506083454,4.105491191,0.952847518,-1.875540862,4.166392218,-13.0277142
12.88861048,3.565372071,9.676285889,-1.728393987,-12.21642135,-3.790197671,-9.836085722,1.968945215,12.88861048,-12.21642135
-8.622551823,1.394355473,1.40559119,-3.122384383,-3.599227801,2.693435965,1.499898167,-1.251331268,2.693435965,-8.622551823
-20.90923161,1.227873993,-1.091181445,-5.129971282,-2.013049202,6.438890271,6.540505928,-3.073051637,6.540505928,-20.90923161
-9.770115119,2.318579102,3.122104011,-4.370308175,-6.371159399,3.080157074,0.71516869,-1.406047411,3.122104011,-9.770115119
-3.974488761,2.367772892,4.238970347,-3.39022802,-7.028207936,1.312274592,-1.623294143,-0.547223663,4.238970347,-7.028207936
-9.724960615,1.820884728,2.097464034,-3.800653305,-4.828642712,3.046826597,1.362370856,-1.407534424,3.046826597,-9.724960615
-12.44326971,1.813359242,1.605879142,-4.277881736,-4.56877906,3.87662286,2.438403127,-1.810091232,3.87662286,-12.44326971
-9.483180296,2.087038236,2.691977386,-4.05777215,-5.676673456,2.983444319,0.9119817,-1.367369824,2.983444319,-9.483180296
-8.216426538,2.082257942,2.903866689,-3.826028774,-5.77202176,2.596427238,0.421613633,-1.179911208,2.903866689,-8.216426538
-9.736013648,1.945567664,2.354203328,-3.943317562,-5.215098213,3.055097456,1.200131451,-1.407123534,3.055097456,-9.736013648
-10.32195579,1.952224672,2.265416715,-4.055528017,-5.184808731,3.234288358,1.42101363,-1.493760286,3.234288358,-10.32195579
-9.543871739,2.020362009,2.543019918,-3.993380913,-5.464216007,2.999359708,1.024859765,-1.37744971,2.999359708,-9.543871739
-9.27518898,2.014906561,2.57874769,-3.939215641,-5.470638899,2.917097682,0.926784832,-1.337762031,2.917097682,-9.27518898
-9.672618085,1.981008187,2.438830827,-3.971979991,-5.330734767,3.03712986,1.127923227,-1.397156192,3.03712986,-9.672618085
-9.7945535,1.984794067,2.425334521,-3.99803987,-5.331890504,3.074514004,1.170682049,-1.415146011,3.074514004,-9.7945535
-9.592032668,2.001625076,2.495714247,-3.980844222,-5.401806493,3.013330949,1.068778112,-1.384887368,3.013330949,-9.592032668
